Wall time,Step,Value
1692371467.289189,43,0.0
1692371467.420303,46,0.0
1692371468.7076523,72,0.0
1692371469.699201,95,0.0
1692371473.3318365,168,0.0
1692371476.639587,230,0.0
1692371476.950006,235,0.0
1692371478.5824976,256,0.0
1692371479.699176,274,0.0
1692371482.1528707,309,0.0
1692371482.287894,311,0.0
1692371482.771115,319,0.0
1692371493.4342508,475,0.0
1692371496.961973,537,0.0
1692371499.1198292,580,0.0
1692371499.4371347,587,0.0
1692371501.918574,635,0.0
1692371502.4809942,648,0.0
1692371512.172479,672,0.29233789443969727
1692371534.599057,715,0.34804970026016235
1692371538.3216352,723,0.3584405779838562
1692371568.5322042,786,0.4481258988380432
1692371576.7728884,803,0.47584980726242065
1692371579.7696643,809,0.4860469698905945
1692371592.401527,837,0.5369694828987122
1692371657.045459,972,0.8605908155441284
1692371677.8089995,1015,0.9843920469284058
1692371703.6499133,1067,1.1390842199325562
1692371722.6880925,1105,1.2569971084594727
1692371760.7047389,1181,1.5058472156524658
1692371804.0019612,1262,1.7833330631256104
1692371831.8029187,1317,1.9747134447097778
1692371833.2449915,1320,1.9849541187286377
1692371841.205783,1334,2.033209800720215
1692371843.365206,1338,2.047124147415161
1692371867.1427994,1386,2.211329936981201
1692371870.3962681,1393,2.2350683212280273
1692371891.4642742,1437,2.3804636001586914
1692371905.9037917,1467,2.476050853729248
1692371933.948175,1524,2.648080348968506
1692371947.6400106,1553,2.729987621307373
1692371955.2787485,1569,2.773491382598877
1692371962.867672,1585,2.815725564956665
1692372013.5678625,1692,3.0660758018493652
1692372034.7925427,1735,3.1513731479644775
1692372036.5679808,1738,3.1568565368652344
1692372093.1352975,1845,3.333831548690796
1692372105.019622,1867,3.3644626140594482
1692372110.6316118,1878,3.3793487548828125
1692372131.0776834,1918,3.430069923400879
1692372146.2482789,1948,3.4652628898620605
1692372189.2313242,2037,3.554670810699463
1692372218.771398,2097,3.604437828063965
1692372264.0803888,2188,3.6678290367126465
1692372269.806702,2200,3.6752991676330566
1692372285.5039883,2232,3.6937484741210938
1692372300.9367213,2263,3.7111618518829346
1692372322.6977205,2308,3.733323812484741
1692372362.139695,2390,3.768824815750122
1692372385.0796392,2437,3.786595344543457
1692372393.3486807,2454,3.7925429344177246
1692372394.5300782,2456,3.793684959411621
1692372396.9403257,2461,3.794799327850342
1692372408.7710102,2486,3.8034539222717285
1692372409.5448806,2487,3.8038434982299805
1692372415.2138293,2499,3.807788372039795
1692372417.8130455,2504,3.809520721435547
1692372432.2101457,2533,3.8181800842285156
1692372439.4427233,2548,3.82277250289917
